run_name,model,algorithm,feature_set,view,embedding_dim,hidden_size,dropout,num_layers,bidirectional,use_attention,pos_weight,decision_threshold,split,accuracy,precision,recall,f1,fpr,fnr,tp,tn,fp,fn,roc_auc,pr_auc
lstm_post_e64_h256_d0.1,lstm_post_e64_h256_d0.1,lstm,sequence_post,post,64,256,0.1,2,True,True,2.462745098039216,0.9249999999999999,test,0.8063763608087092,0.38,0.806060606060606,0.516504854368932,0.1935771632471008,0.19393939393939394,133.0,904.0,217.0,32.0,0.8453815586732625,0.3996756545738615
lstm_pre_e64_h128_d0.1,lstm_pre_e64_h128_d0.1,lstm,sequence_pre,pre,64,128,0.1,2,True,True,2.462745098039216,0.9,test,0.7830482115085536,0.3582089552238806,0.8727272727272727,0.5079365079365079,0.23015165031222123,0.12727272727272726,144.0,863.0,258.0,21.0,0.85127456545833,0.41072220365876194
lstm_post_e64_h256_d0.3,lstm_post_e64_h256_d0.3,lstm,sequence_post,post,64,256,0.3,2,True,True,2.462745098039216,0.9,test,0.7682737169517885,0.34498834498834496,0.896969696969697,0.4983164983164983,0.25066904549509367,0.10303030303030303,148.0,840.0,281.0,17.0,0.8623739626415808,0.4479034215054622
lstm_pre_e64_h128_d0.3,lstm_pre_e64_h128_d0.3,lstm,sequence_pre,pre,64,128,0.3,2,True,True,2.462745098039216,0.9,test,0.7620528771384136,0.3284671532846715,0.8181818181818182,0.46875,0.24620874219446923,0.18181818181818182,135.0,845.0,276.0,30.0,0.8310274916876166,0.39326514016766373
lstm_post_e128_h128_d0.1,lstm_post_e128_h128_d0.1,lstm,sequence_post,post,128,128,0.1,2,True,True,2.462745098039216,0.95,val,0.934115212142118,0.265625,0.9577464788732394,0.41590214067278286,0.06647807637906648,0.04225352112676056,68.0,2640.0,188.0,3.0,0.9677246648206067,0.3277548518758348
lstm_post_e128_h256_d0.3,lstm_post_e128_h256_d0.3,lstm,sequence_post,post,128,256,0.3,2,True,True,2.462745098039216,0.95,val,0.9299758537426699,0.2480916030534351,0.9154929577464789,0.39039039039039036,0.06966053748231966,0.08450704225352113,65.0,2631.0,197.0,6.0,0.9579456939657749,0.2237983848446467
lstm_post_e64_h128_d0.3,lstm_post_e64_h128_d0.3,lstm,sequence_post,post,64,128,0.3,2,True,True,2.462745098039216,0.9249999999999999,val,0.9223870300103484,0.23448275862068965,0.9577464788732394,0.3767313019390582,0.0785007072135785,0.04225352112676056,68.0,2606.0,222.0,3.0,0.9551392513496823,0.23585299894136003
lstm_post_e128_h256_d0.1,lstm_post_e128_h256_d0.1,lstm,sequence_post,post,128,256,0.1,2,True,True,2.462745098039216,0.95,val,0.9216971369437738,0.23103448275862068,0.9436619718309859,0.37119113573407203,0.07885431400282886,0.056338028169014086,67.0,2605.0,223.0,4.0,0.9614917226129052,0.29770526358527905
lstm_post_e128_h128_d0.5,lstm_post_e128_h128_d0.5,lstm,sequence_post,post,128,128,0.5,2,True,True,2.462745098039216,0.95,val,0.9220420834770611,0.22996515679442509,0.9295774647887324,0.3687150837988827,0.07814710042432815,0.07042253521126761,66.0,2607.0,221.0,5.0,0.9612999780863398,0.30798407471518036
lstm_post_e64_h128_d0.1,lstm_post_e64_h128_d0.1,lstm,sequence_post,post,64,128,0.1,2,True,True,2.462745098039216,0.95,val,0.9241117626767851,0.2290909090909091,0.8873239436619719,0.36416184971098264,0.07496463932107496,0.11267605633802817,63.0,2616.0,212.0,8.0,0.95587883738072,0.2510032340261355
lstm_post_e128_h256_d0.5,lstm_post_e128_h256_d0.5,lstm,sequence_post,post,128,256,0.5,2,True,True,2.462745098039216,0.95,val,0.9241117626767851,0.2271062271062271,0.8732394366197183,0.36046511627906974,0.0746110325318246,0.1267605633802817,62.0,2617.0,211.0,9.0,0.9516106540231488,0.22294367221789083
lstm_post_e64_h256_d0.1,lstm_post_e64_h256_d0.1,lstm,sequence_post,post,64,256,0.1,2,True,True,2.462745098039216,0.9249999999999999,val,0.9172128320110383,0.21926910299003322,0.9295774647887324,0.3548387096774194,0.0830975954738331,0.07042253521126761,66.0,2593.0,235.0,5.0,0.9549201147478933,0.2905836123538447
lstm_post_e64_h256_d0.5,lstm_post_e64_h256_d0.5,lstm,sequence_post,post,64,256,0.5,2,True,True,2.462745098039216,0.95,val,0.9196274577440496,0.2206896551724138,0.9014084507042254,0.3545706371191136,0.07991513437057991,0.09859154929577464,64.0,2602.0,226.0,7.0,0.953132159292388,0.2267943759513346
lstm_post_e64_h128_d0.5,lstm_post_e64_h128_d0.5,lstm,sequence_post,post,64,128,0.5,2,True,True,2.462745098039216,0.9,val,0.9072093825457054,0.20710059171597633,0.9859154929577465,0.3422982885085575,0.09476661951909476,0.014084507042253521,70.0,2560.0,268.0,1.0,0.9570467358607088,0.2913486852097083
lstm_post_e128_h128_d0.3,lstm_post_e128_h128_d0.3,lstm,sequence_post,post,128,128,0.3,2,True,True,2.462745098039216,0.95,val,0.9106588478785789,0.2080745341614907,0.9436619718309859,0.34096692111959287,0.09016973125884017,0.056338028169014086,67.0,2573.0,255.0,4.0,0.9573156762356316,0.3508214750184966
lstm_pre_e64_h128_d0.1,lstm_pre_e64_h128_d0.1,lstm,sequence_pre,pre,64,128,0.1,2,True,True,2.462745098039216,0.9,val,0.903759917212832,0.195906432748538,0.9436619718309859,0.324455205811138,0.09724186704384724,0.056338028169014086,67.0,2553.0,275.0,4.0,0.9544519592804351,0.28286050105202004
lstm_pre_e64_h128_d0.3,lstm_pre_e64_h128_d0.3,lstm,sequence_pre,pre,64,128,0.3,2,True,True,2.462745098039216,0.9,val,0.8982407726802346,0.18361581920903955,0.9154929577464789,0.3058823529411765,0.1021923620933522,0.08450704225352113,65.0,2539.0,289.0,6.0,0.935616172281212,0.2385780675750482
lstm_post_e64_h256_d0.3,lstm_post_e64_h256_d0.3,lstm,sequence_post,post,64,256,0.3,2,True,True,2.462745098039216,0.9,val,0.8861676440151777,0.17380352644836272,0.971830985915493,0.2948717948717949,0.11598302687411598,0.028169014084507043,69.0,2500.0,328.0,2.0,0.9503132657330119,0.31017837872422743
